Which are your favorite µ's songs from Love Live! School Idol Project season 1?,Which are your favorite µ's songs from Love Live! School Idol Project Season 2?,Which are your favorite µ's songs from Love Live! The School Idol Movie?,Which are your favorite non-insert µ's songs?,Which are your favorite BiBi songs?,Which are your favorite lily white songs?,Which are your favorite Printemps songs?,Which are your favorite Love Live! small group songs?,Which are your favorite Love Live! solo songs?,Which is your favorite A-RISE song?,"Out of every song from Love Live!, which is your favorite?",Which is your favorite Love Live! MV?,Which µ's member is your favorite singer?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 1?,Which are your favorite Aqours songs from Love Live! Sunshine!! season 2?,Which are your favorite Aqours songs from Love Live! The School Idol Movie: Over The Rainbow?,Which are your favorite non-insert Aqours songs?,Which are your favorite Guilty Kiss songs?,Which are your favorite AZALEA songs?,Which are your favorite CYaRon! songs?,Which are your favorite Love Live! Sunshine!! duets/trios?,Which are your favorite Love Live! Sunshine!! solo songs?,Which is your favorite Saint Snow song?,"Out of every song from Love Live! Sunshine!!, which is your favorite?",Which is your favorite Love Live! Sunshine!! MV?,Which Aqours member is your favorite singer?,Which is your favorite PERFECT Dream Project song?,Which PERFECT Dream Project member is your favorite singer?
"Bokura no LIVE Kimi to no LIFE, Wonder zone","Dancing stars on me!, Snow halation","Angelic Angel, Hello, Hoshi o Kazoete","Baby maybe Koi no Button, LONELIEST BABY, Mermaid festa vol.1, Natsuiro Egao de 1,2,Jump!, Takaramonozu, WILD STARS","Cutie Panther, Diamond Princess no Yuuutsu, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Kimi no Kuse ni!","Love marginal, Pure girls project, Sweet&sweet holiday","After school NAVIGATORS, Garasu no Hanazono, Zurui yo Magnetic today","Daring!!, Kodoku na Heaven, Mahoutsukai Hajimemashita!, Nawatobi, Niko puri?Joshi dou, Watashitachi wa Mirai no Hana",Private Wars,Garasu no Hanazono,"Angelic Angel, Bokura wa Ima no Naka de, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Mogyutto ""love"" de Sekkin Chuu!, Natsuiro Egao de 1,2,Jump!",Eli Ayase (VA Yoshino Nanjo),"Aozora Jumping Heart, MIRAI TICKET",MY Mai?TONIGHT,Kiseki Hikaru,"HAPPY PARTY TRAIN, Pops heart de Odorun damon!, Step! ZERO to ONE, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, Tokimeki Bunruigaku",Yozora wa Nandemo Shitteru no?,"G Senjou no Cinderella, Waku-Waku-Week!",In this unstable world,SELF CONTROL!!,Kowareyasuki,,Yoshiko Tsushima (Va Kobayashi Aika),Doki Pipo ? Emotion,Rina Tennoji (VA Chiemi Tanaka)
"Kitto Seishun ga Kikoeru, No brand girls",Snow halation,??HEARTBEAT,"Mermaid festa vol.1, Natsuiro Egao de 1,2,Jump!, Takaramonozu","Cutie Panther, Diamond Princess no Yuuutsu, Fuyu ga Kureta Yokan","A-NO-NE-GA-N-BA-RE!, Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love",,"Garasu no Hanazono, Soldier game, Zurui yo Magnetic today","Arifureta Kanashimi no Hate, Daring!!, Kururin MIRACLE, Niko puri?Joshi dou",Private Wars,Kururin MIRACLE,??HEARTBEAT,Rin Hoshizora (VA Riho Iida),"Kimeta yo Hand in Hand, MIRAI TICKET","MIRACLE WAVE, MY Mai?TONIGHT",,"Humming Friend, Pops heart de Odorun damon!, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD",Yozora wa Nandemo Shitteru no?,G Senjou no Cinderella,"In this unstable world, RED GEM WINK",Believe again,INNOCENT BIRD,MY Mai?TONIGHT,Yoshiko Tsushima (Va Kobayashi Aika),"Meccha Going!!, Starlight",Ai Miyashita (VA Natsumi Murakami)
START:DASH!!,Snow halation,SUNNY DAY SONG,"Arashi no Naka no Koi dakara, COLORFUL VOICE, HEART to HEART!, Music S.T.A.R.T!!, Mermaid festa vol.1, Takaramonozu","Cutie Panther, Love Novels, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Futari Happiness, Otohime Heart de Love Kyuuden","CheerDay CheerGirl!, MUSEUM de Dou Shitai?, NO EXIT ORION","Beat in Angel, Mermaid festa vol.2 ~Passionate~, Soldier game","Ai wa Taiyou Ja Nai?, Daring!!, Koi no Signal Rin rin rin!, Niko puri?Joshi dou, Someday of my life, Yuuki no Reason",Shocking Party,Snow halation,"Bokura no LIVE Kimi to no LIFE, KiRa-KiRa Sensation!, Music S.T.A.R.T!!, Snow halation, START:DASH!!, SUNNY DAY SONG",Kotori Minami (VA Aya Uchida),,,,,,,,,,,,,,,
"Bokura wa Ima no Naka de, START:DASH!!","Donna Toki mo Zutto, Snow halation","Bokutachi wa Hitotsu no Hikari, ??HEARTBEAT","COLORFUL VOICE, Korekara, Music S.T.A.R.T!!, Shangri-La Shower, Takaramonozu, Yuujou No Change","Cutie Panther, PSYCHIC FIRE, Sakkaku CROSSROADS","Binetsu Kara Mystery, Kimi no Kuse ni!, Otohime Heart de Love Kyuuden","Nightingale Love Song, Sweet&sweet holiday, UNBALANCED LOVE","After school NAVIGATORS, Beat in Angel, Zurui yo Magnetic today","Daring!!, Junai Lens, Nawatobi, Niko puri?Joshi dou, Someday of my life, Yuuki no Reason",Private Wars,START:DASH!!,"Bokura wa Ima no Naka de, Donna Toki mo Zutto, Music S.T.A.R.T!!, Snow halation, START:DASH!!, ??HEARTBEAT",Maki Nishikino (VA Pile),"Aozora Jumping Heart, Yume Kataru yori Yume Utaou","Mirai no Bokura wa Shitteru yo, Yuuki wa doko ni? Kimi no Mune ni!",,"Aqours?HEROES, HAPPY PARTY TRAIN",,,,,,,Aozora Jumping Heart,Aozora Jumping Heart,You Watanabe (VA Saitou Shuka),,
"START:DASH!!, Susume?Tomorrow","Snow halation, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","Datte Datte Aa Mujou, LONELIEST BABY, Mi wa µ'sic no Mi, Mogyutto ""love"" de Sekkin Chuu!, Natsuiro Egao de 1,2,Jump!, Wonderful Rush","Fuyu ga Kureta Yokan, PSYCHIC FIRE, Trouble Busters","Binetsu Kara Mystery, Shiranai Love*Oshiete Love, Shunjou Romantic","Love marginal, Sweet&sweet holiday, UNBALANCED LOVE","After school NAVIGATORS, Beat in Angel, Garasu no Hanazono","Arifureta Kanashimi no Hate, Blueberry?Train, Daring!!, Someday of my life, Spicaterrible, Watashitachi wa Mirai no Hana",Shocking Party,UNBALANCED LOVE,"Snow halation, START:DASH!!, SUNNY DAY SONG, Susume?Tomorrow, Wonderful Rush, Yume no Tobira",Eli Ayase (VA Yoshino Nanjo),"Omoi yo Hitotsu ni Nare, Yume Kataru yori Yume Utaou","WATER BLUE NEW WORLD, Yuuki wa doko ni? Kimi no Mune ni!","Brightest Melody, Hop? Stop? Nonstop!","Daydream Warrior, HAPPY PARTY TRAIN, Jump up HIGH!!, Thank you, FRIENDS!!, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Sakura Bye Bye","Hajimari Road, Marine Border Parasol","Oyasuminasan!, WHITE FIRST LOVE",Believe again,Yuuki wa doko ni? Kimi no Mune ni!,"Awaken the power, Believe again, MY Mai?TONIGHT, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD, Yuuki wa doko ni? Kimi no Mune ni!",Hanamaru Kunikida (Va Takatsuki Kanako),"Anata no Risou no Heroine, CHASE!, Diamond",Setsuna Yuki (VA Tomori Kusunoki)
"Aishiteru Banzai!, Kitto Seishun ga Kikoeru","Love wing bell, Snow halation","Bokutachi wa Hitotsu no Hikari, ??HEARTBEAT","Baby maybe Koi no Button, Kaguya no Shiro de Odoritai, Mi wa µ'sic no Mi, Mogyutto ""love"" de Sekkin Chuu!, MOMENT RING, SENTIMENTAL StepS","Love Novels, Sakkaku CROSSROADS, Silent tonight","Aki no Anata no Sora Tooku, Otohime Heart de Love Kyuuden, Shunjou Romantic","Love marginal, NO EXIT ORION, UNBALANCED LOVE","Kokuhaku Biyori, desu!, Soldier game, Storm in Lover","Arifureta Kanashimi no Hate, Daring!!, Nawatobi, Someday of my life, Spicaterrible, Yuuki no Reason",Private Wars,Snow halation,"Angelic Angel, Love wing bell, Shocking Party, SUNNY DAY SONG, Wonder zone, ??HEARTBEAT",Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, Yume de Yozora o Terashitai","WATER BLUE NEW WORLD, Yuuki wa doko ni? Kimi no Mune ni!","Kiseki Hikaru, Next SPARKLING!!","Jump up HIGH!!, Kimi no Hitomi o Meguru Bouken, Landing action Yeah!!, SKY JOURNEY, Thank you, FRIENDS!!","Guilty Eyes Fever, Kowareyasuki","GALAXY HidE and SeeK, INNOCENT BIRD","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","Marine Border Parasol, Natsu no Owari no Amaoto ga","In this unstable world, Oyasuminasan!",Believe again,GALAXY HidE and SeeK,"Awaken the power, Believe again, Mijuku DREAMER, MY Mai?TONIGHT, Omoi yo Hitotsu ni Nare, Yume de Yozora o Terashitai",Yoshiko Tsushima (Va Kobayashi Aika),"Anata no Risou no Heroine, CHASE!, Starlight",Setsuna Yuki (VA Tomori Kusunoki)
"No brand girls, START:DASH!!","KiRa-KiRa Sensation!, Snow halation","Bokutachi wa Hitotsu no Hikari, Future style","Baby maybe Koi no Button, Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, Music S.T.A.R.T!!, MOMENT RING, Wonderful Rush","PSYCHIC FIRE, Saitei de Saikou no Paradiso, Sakkaku CROSSROADS","Onaji Hoshi ga Mitai, Otohime Heart de Love Kyuuden, Shunjou Romantic","Love marginal, NO EXIT ORION","Beat in Angel, Mermaid festa vol.2 ~Passionate~, Soldier game","Arifureta Kanashimi no Hate, Daring!!, Kodoku na Heaven, Mou Hitori Ja Nai yo, Watashitachi wa Mirai no Hana, Yuuki no Reason",Shocking Party,Snow halation,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Natsuiro Egao de 1,2,Jump!, Snow halation, START:DASH!!",Maki Nishikino (VA Pile),"Aozora Jumping Heart, Omoi yo Hitotsu ni Nare","Mirai no Bokura wa Shitteru yo, WATER BLUE NEW WORLD","Brightest Melody, Next SPARKLING!!","Daydream Warrior, HAPPY PARTY TRAIN, Jump up HIGH!!, Koi ni Naritai AQUARIUM, Thank you, FRIENDS!!","Guilty Eyes Fever, Kowareyasuki","GALAXY HidE and SeeK, Sotsugyou desu ne","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Manatsu wa Dare no Mono?","New winding road, WHITE FIRST LOVE",Believe again,Mirai no Bokura wa Shitteru yo,"Brightest Melody, HAPPY PARTY TRAIN, Kimi no Kokoro wa Kagayaiteru kai?, Next SPARKLING!!, WATER BLUE NEW WORLD, WONDERFUL STORIES",Mari Ohara (VA Suzuki Aina),"Anata no Risou no Heroine, CHASE!, Starlight",Karin Asaka (VA Miyu Kubota)
Bokura no LIVE Kimi to no LIFE,Snow halation,Bokutachi wa Hitotsu no Hikari,"Natsuiro Egao de 1,2,Jump!","Cutie Panther, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Kimi no Kuse ni!",,After school NAVIGATORS,Koi no Signal Rin rin rin!,,Cutie Panther,"Bokura no LIVE Kimi to no LIFE, START:DASH!!",Maki Nishikino (VA Pile),"Daisuki dattara Daijoubu!, Mijuku DREAMER","Awaken the power, MY Mai?TONIGHT",Hop? Stop? Nonstop!,"HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Sunshine Pikkapika Ondo",Kowareyasuki,Torikoriko PLEASE!!,,,,SELF CONTROL!!,HAPPY PARTY TRAIN,"Daisuki dattara Daijoubu!, HAPPY PARTY TRAIN, Hop? Stop? Nonstop!, Koi ni Naritai AQUARIUM, MY Mai?TONIGHT",Mari Ohara (VA Suzuki Aina),,
Bokura no LIVE Kimi to no LIFE,"Oh,Love&Peace!, Snow halation","Angelic Angel, ??HEARTBEAT","Arashi no Naka no Koi dakara, Datte Datte Aa Mujou, LONELIEST BABY, Mogyutto ""love"" de Sekkin Chuu!, Natsuiro Egao de 1,2,Jump!, Takaramonozu","Love Novels, Natsu, Owaranai de., Sakkaku CROSSROADS","Aki no Anata no Sora Tooku, Kimi no Kuse ni!, Shunjou Romantic","Love marginal, NO EXIT ORION, Pure girls project","After school NAVIGATORS, Beat in Angel, Garasu no Hanazono","Arifureta Kanashimi no Hate, Daring!!, Someday of my life, Spicaterrible, Watashitachi wa Mirai no Hana, Yuuki no Reason",Shocking Party,Arashi no Naka no Koi dakara,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Future style, Hello, Hoshi o Kazoete, Snow halation, ??HEARTBEAT",Rin Hoshizora (VA Riho Iida),"MIRAI TICKET, Yume Kataru yori Yume Utaou","MY Mai?TONIGHT, WATER BLUE NEW WORLD",Hop? Stop? Nonstop!,"HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Mattete Ai no Uta, Thrilling?One Way","Guilty Eyes Fever, Shadow gate to love","GALAXY HidE and SeeK, Torikoriko PLEASE!!",Genki Zenkai DAY! DAY! DAY!,G Senjou no Cinderella,"Sakana ka Nanda ka?, WHITE FIRST LOVE",SELF CONTROL!!,Guilty Eyes Fever,"HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, MIRAI TICKET, MY Mai?TONIGHT, SELF CONTROL!!, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Meccha Going!!, Starlight",Karin Asaka (VA Miyu Kubota)
"Aishiteru Banzai!, START:DASH!!","Snow halation, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, ??HEARTBEAT","Music S.T.A.R.T!!, Mi wa µ'sic no Mi, Natsuiro Egao de 1,2,Jump!, SENTIMENTAL StepS, Super LOVE=Super LIVE!, WILD STARS","Cutie Panther, PSYCHIC FIRE, Trouble Busters","A-NO-NE-GA-N-BA-RE!, Shiranai Love*Oshiete Love, Shunjou Romantic","Eien Friends, Nightingale Love Song, Sweet&sweet holiday","Mermaid festa vol.2 ~Passionate~, Soldier game, Storm in Lover","Daring!!, Someday of my life, Yuuki no Reason",Shocking Party,PSYCHIC FIRE,"Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Love wing bell, START:DASH!!, SUNNY DAY SONG, ??HEARTBEAT",Maki Nishikino (VA Pile),"MIRAI TICKET, Omoi yo Hitotsu ni Nare","Awaken the power, MY Mai?TONIGHT","Brightest Melody, Hop? Stop? Nonstop!","Aqours?HEROES, Jingle Bells ga Tomaranai, Koi ni Naritai AQUARIUM, Pops heart de Odorun damon!, Step! ZERO to ONE","Guilty Night, Guilty Kiss!, Shadow gate to love","GALAXY HidE and SeeK, Torikoriko PLEASE!!","Genki Zenkai DAY! DAY! DAY!, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Jimo Ai ? Mantan ? Summer Life","Beginner's Sailing, One More Sunshine Story",Believe again,"Guilty Night, Guilty Kiss!","Awaken the power, Koi ni Naritai AQUARIUM, MIRACLE WAVE, MIRAI TICKET, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD",You Watanabe (VA Saitou Shuka),"CHASE!, Starlight",Setsuna Yuki (VA Tomori Kusunoki)
"Aishiteru Banzai!, START:DASH!!","Donna Toki mo Zutto, Snow halation",,"Datte Datte Aa Mujou, Mi wa µ'sic no Mi, SENTIMENTAL StepS, Shangri-La Shower, Soshite Saigo no Page ni wa, WILD STARS","Cutie Panther, Diamond Princess no Yuuutsu, Sakkaku CROSSROADS","Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love, Shunjou Romantic","Love marginal, Nightingale Love Song, WAO-WAO Powerful day!","Anemone heart, Soldier game, Storm in Lover","Arifureta Kanashimi no Hate, Kodoku na Heaven, Watashitachi wa Mirai no Hana",Shocking Party,Soldier game,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Snow halation, SUNNY DAY SONG, Yume no Tobira",Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, Yume Kataru yori Yume Utaou","MY Mai?TONIGHT, WATER BLUE NEW WORLD",,"Daydream Warrior, Humming Friend, Kimi no Hitomi o Meguru Bouken, Mattete Ai no Uta, Shoujo Ijou no Koi ga Shitai","Kowareyasuki, Shadow gate to love","GALAXY HidE and SeeK, Tokimeki Bunruigaku","Sakura Bye Bye, Yozora wa Nandemo Shitteru no?","Jimo Ai ? Mantan ? Summer Life, Natsu no Owari no Amaoto ga","In this unstable world, New winding road",CRASH MIND,Daydream Warrior,"Awaken the power, WATER BLUE NEW WORLD",Yoshiko Tsushima (Va Kobayashi Aika),"CHASE!, Meccha Going!!, Starlight",Karin Asaka (VA Miyu Kubota)
"Bokura no LIVE Kimi to no LIFE, START:DASH!!","Snow halation, Yume no Tobira","Bokutachi wa Hitotsu no Hikari, SUNNY DAY SONG","Dreamin' Go! Go!!, LOVELESS WORLD, Mermaid festa vol.1, MOMENT RING, Super LOVE=Super LIVE!, Wonderful Rush","Cutie Panther, Love Novels, PSYCHIC FIRE","Binetsu Kara Mystery, Onaji Hoshi ga Mitai, Otohime Heart de Love Kyuuden","Love marginal, NO EXIT ORION, Puwa Puwa-O!","Beat in Angel, Garasu no Hanazono, Soldier game","Arifureta Kanashimi no Hate, Junai Lens, Kodoku na Heaven, Mou Hitori Ja Nai yo, Someday of my life, Spicaterrible",Shocking Party,START:DASH!!,"Bokutachi wa Hitotsu no Hikari, START:DASH!!, SUNNY DAY SONG, Wonderful Rush, Yume no Tobira, ??HEARTBEAT",Eli Ayase (VA Yoshino Nanjo),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","WATER BLUE NEW WORLD, WONDERFUL STORIES","Hop? Stop? Nonstop!, Kiseki Hikaru","Daydream Warrior, HAPPY PARTY TRAIN, Kimi no Hitomi o Meguru Bouken, Thank you, FRIENDS!!, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, INNOCENT BIRD","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","Natsu e no Tobira Never end ver., Natsu no Owari no Amaoto ga","New winding road, WHITE FIRST LOVE",Believe again,WATER BLUE NEW WORLD,"Awaken the power, Brightest Melody, Mijuku DREAMER, Omoi yo Hitotsu ni Nare, WATER BLUE NEW WORLD, WONDERFUL STORIES",Mari Ohara (VA Suzuki Aina),"CHASE!, Starlight",Setsuna Yuki (VA Tomori Kusunoki)
"Aishiteru Banzai!, Kitto Seishun ga Kikoeru","Donna Toki mo Zutto, Sore wa Bokutachi no Kiseki","Bokutachi wa Hitotsu no Hikari, ??HEARTBEAT","Arashi no Naka no Koi dakara, COLORFUL VOICE, HEART to HEART!, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Mermaid festa vol.1","Cutie Panther, Love Novels, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Shiranai Love*Oshiete Love, Shunjou Romantic","NO EXIT ORION, Pure girls project, Sweet&sweet holiday","Listen to my heart!!, Suki desu ga Suki desu ka?, Zurui yo Magnetic today","Daring!!, Junai Lens, Nawatobi, Someday of my life, Spicaterrible, Yume Naki Yume wa Yume ja nai",Shocking Party,Bokutachi wa Hitotsu no Hikari,"Bokura no LIVE Kimi to no LIFE, Bokura wa Ima no Naka de, Bokutachi wa Hitotsu no Hikari, Kitto Seishun ga Kikoeru, Snow halation, ??HEARTBEAT",Eli Ayase (VA Yoshino Nanjo),"Kimeta yo Hand in Hand, Yume Kataru yori Yume Utaou","MY Mai?TONIGHT, WATER BLUE NEW WORLD","Kiseki Hikaru, Over The Next Rainbow","""MY LIST"" to you!, No.10, Sunshine Pikkapika Ondo, Thank you, FRIENDS!!, Thrilling?One Way","Guilty Eyes Fever, Shadow gate to love","GALAXY HidE and SeeK, Torikoriko PLEASE!!","P.S. no Mukougawa, Sakura Bye Bye","Manatsu wa Dare no Mono?, Waku-Waku-Week!","In this unstable world, RED GEM WINK",Believe again,In this unstable world,"Believe again, HAPPY PARTY TRAIN, MIRACLE WAVE, MY Mai?TONIGHT, WATER BLUE NEW WORLD, Yume de Yozora o Terashitai",Yoshiko Tsushima (Va Kobayashi Aika),"Doki Pipo ? Emotion, Meccha Going!!, Nemureru Mori ni Ikitai na",Rina Tennoji (VA Chiemi Tanaka)
START:DASH!!,Snow halation,??HEARTBEAT,"Arashi no Naka no Koi dakara, Datte Datte Aa Mujou, Kaguya no Shiro de Odoritai, LOVELESS WORLD, Mermaid festa vol.1, Ruteshi Kisuki Shiteru","Cutie Panther, Love Novels, PSYCHIC FIRE","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shunjou Romantic","Love marginal, NO EXIT ORION, Sweet&sweet holiday","Garasu no Hanazono, Storm in Lover, Suki desu ga Suki desu ka?","Arifureta Kanashimi no Hate, Blueberry?Train, Daring!!, Kodoku na Heaven, Nawatobi, Watashitachi wa Mirai no Hana",Private Wars,Mermaid festa vol.1,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Hello, Hoshi o Kazoete, Snow halation, START:DASH!!, Yume no Tobira",Eli Ayase (VA Yoshino Nanjo),"Kimeta yo Hand in Hand, MIRAI TICKET","MIRACLE WAVE, MY Mai?TONIGHT","Hop? Stop? Nonstop!, Tousou Meisou Mobius Loop","Daydream Warrior, HAPPY PARTY TRAIN, Kimi no Hitomi o Meguru Bouken, Koi ni Naritai AQUARIUM, Thrilling?One Way","Guilty Eyes Fever, Strawberry Trapper","Sotsugyou desu ne, Torikoriko PLEASE!!","Kaigandoori de Matteru yo, Kinmirai Happy End","G Senjou no Cinderella, Natsu e no Tobira Never end ver.","Sakana ka Nanda ka?, WHITE FIRST LOVE",Believe again,MY Mai?TONIGHT,"Believe again, HAPPY PARTY TRAIN, Hop? Stop? Nonstop!, MY Mai?TONIGHT, Tousou Meisou Mobius Loop, WATER BLUE NEW WORLD",Mari Ohara (VA Suzuki Aina),"Nemureru Mori ni Ikitai na, Starlight, TOKIMEKI Runners",Karin Asaka (VA Miyu Kubota)
"Aishiteru Banzai!, START:DASH!!","Snow halation, Yume no Tobira",SUNNY DAY SONG,"Kaguya no Shiro de Odoritai, Music S.T.A.R.T!!, Paradise Live, Takaramonozu, WILD STARS, Wonderful Rush","Fuyu ga Kureta Yokan, Sakkaku CROSSROADS","A-NO-NE-GA-N-BA-RE!, Binetsu Kara Mystery, Shiranai Love*Oshiete Love","Love marginal, Nightingale Love Song, NO EXIT ORION","Beat in Angel, Garasu no Hanazono, Soldier game","Arifureta Kanashimi no Hate, Daring!!, Kodoku na Heaven, Koi no Signal Rin rin rin!, Nawatobi, Spicaterrible",Private Wars,Yume no Tobira,Yume no Tobira,Umi Sonoda (VA Suzuko Mimori),"Mijuku DREAMER, Omoi yo Hitotsu ni Nare","MY Mai?TONIGHT, WATER BLUE NEW WORLD","Hop? Stop? Nonstop!, Tousou Meisou Mobius Loop","Daydream Warrior, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Landing action Yeah!!, Thrilling?One Way","Kowareyasuki, Strawberry Trapper","GALAXY HidE and SeeK, Torikoriko PLEASE!!",Genki Zenkai DAY! DAY! DAY!,"G Senjou no Cinderella, Waku-Waku-Week!","New winding road, One More Sunshine Story",SELF CONTROL!!,WATER BLUE NEW WORLD,Mijuku DREAMER,Mari Ohara (VA Suzuki Aina),"Anata no Risou no Heroine, CHASE!, Meccha Going!!",Shizuku Osaka (VA Kaori Maeda)
"No brand girls, START:DASH!!","Happy maker!, Yume no Tobira","Future style, Hello, Hoshi o Kazoete","LONELIEST BABY, Paradise Live, Sayounara e Sayonara!, Shangri-La Shower, Soshite Saigo no Page ni wa, Wonderful Rush","Cutie Panther, Love Novels, PSYCHIC FIRE","Otohime Heart de Love Kyuuden, Shiranai Love*Oshiete Love, Shunjou Romantic","Eien Friends, Puwa Puwa-O!, Sweet&sweet holiday","Soldier game, Suki desu ga Suki desu ka?, Zurui yo Magnetic today","Ai wa Taiyou Ja Nai?, Kururin MIRACLE, Shiawase Iki no SMILING!, Spicaterrible, Yume Naki Yume wa Yume ja nai, Yuuki no Reason",Shocking Party,Yume no Tobira,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Happy maker!, Snow halation, START:DASH!!, Yume no Tobira",Umi Sonoda (VA Suzuko Mimori),Omoi yo Hitotsu ni Nare,"Kimi no Kokoro wa Kagayaiteru kai?, WONDERFUL STORIES","Bokura no Hashittekita Michi wa…, Hop? Stop? Nonstop!","Daydream Warrior, Humming Friend, Mattete Ai no Uta, Step! ZERO to ONE, Thrilling?One Way","Guilty Eyes Fever, Guilty Night, Guilty Kiss!","LONELY TUNING, Torikoriko PLEASE!!","Kinmirai Happy End, Yozora wa Nandemo Shitteru no?","G Senjou no Cinderella, Natsu e no Tobira Never end ver.","In this unstable world, WHITE FIRST LOVE",Believe again,Omoi yo Hitotsu ni Nare,"Aozora Jumping Heart, HAPPY PARTY TRAIN, Koi ni Naritai AQUARIUM, Omoi yo Hitotsu ni Nare, WONDERFUL STORIES",Yoshiko Tsushima (Va Kobayashi Aika),CHASE!,Setsuna Yuki (VA Tomori Kusunoki)
"Bokura wa Ima no Naka de, Wonder zone","Donna Toki mo Zutto, Happy maker!","Bokutachi wa Hitotsu no Hikari, Future style","COLORFUL VOICE, Mermaid festa vol.1, MOMENT RING, Paradise Live, SENTIMENTAL StepS, Takaramonozu","Fuyu ga Kureta Yokan, Sakkaku CROSSROADS, Silent tonight","A-NO-NE-GA-N-BA-RE!, Shiranai Love*Oshiete Love, Shunjou Romantic","Eien Friends, MUSEUM de Dou Shitai?, NO EXIT ORION","Beat in Angel, Garasu no Hanazono, Suki desu ga Suki desu ka?","Ai wa Taiyou Ja Nai?, Arifureta Kanashimi no Hate, Moshimo Kara Kitto, Mou Hitori Ja Nai yo, Spicaterrible, Yume Naki Yume wa Yume ja nai",Shocking Party,Donna Toki mo Zutto,"Angelic Angel, Bokutachi wa Hitotsu no Hikari, Donna Toki mo Zutto, Future style, Shocking Party, Yume no Tobira",Eli Ayase (VA Yoshino Nanjo),"Daisuki dattara Daijoubu!, MIRAI TICKET","MIRACLE WAVE, Yuuki wa doko ni? Kimi no Mune ni!",Bokura no Hashittekita Michi wa…,"Kimi no Hitomi o Meguru Bouken, Pops heart de Odorun damon!, SKY JOURNEY, Taiyou o Oikakero!, Thank you, FRIENDS!!","Guilty!? Farewell party, Kowareyasuki","LONELY TUNING, Sotsugyou desu ne","P.S. no Mukougawa, Sakura Bye Bye","Hajimari Road, Marine Border Parasol","One More Sunshine Story, Oyasuminasan!",CRASH MIND,Bokura no Hashittekita Michi wa…,"Bokura no Hashittekita Michi wa…, HAPPY PARTY TRAIN, Hop? Stop? Nonstop!, MIRACLE WAVE, MIRAI TICKET, Next SPARKLING!!",Chika Takami (VA Inami Anju),"CHASE!, Meccha Going!!, Yume e no Ippo",Ayumu Uehara (VA Aguri Onishi)
